,design,nr,ntheta,nx,panels,A,B
0,"design_8.833333333333332,12.5",2,20,10,140,1081410.162374415,189947.25247453773
1,"design_8.833333333333332,12.5",2,20,15,200,1072937.7689884135,185634.39591181514
2,"design_8.833333333333332,12.5",2,20,20,240,1068718.3313709053,183610.01103304076
3,"design_8.833333333333332,12.5",2,20,25,300,1066215.0602561468,182301.01132465157
4,"design_8.833333333333332,12.5",2,20,30,340,1064557.6980561814,181431.55127275773
5,"design_8.833333333333332,12.5",2,25,10,175,1091097.8583918505,195193.46169850632
6,"design_8.833333333333332,12.5",2,25,15,250,1082582.436482669,190894.78183395695
7,"design_8.833333333333332,12.5",2,25,20,300,1078365.8772944557,188864.40034047922
8,"design_8.833333333333332,12.5",2,25,25,375,1075845.8799643929,187561.92575351102
9,"design_8.833333333333332,12.5",2,25,30,425,1074185.17731161,186691.62292433006
10,"design_8.833333333333332,12.5",2,30,10,210,1096544.958143016,198633.91353211598
11,"design_8.833333333333332,12.5",2,30,15,300,1087975.5415064592,194332.4930510498
12,"design_8.833333333333332,12.5",2,30,20,360,1083740.2398257602,192303.86476744706
13,"design_8.833333333333332,12.5",2,30,25,450,1081220.20876021,191003.64972886094
14,"design_8.833333333333332,12.5",2,30,30,510,1079544.351838031,190134.83406386417
15,"design_8.833333333333332,12.5",2,35,10,245,1099897.5785342134,200971.9603567422
16,"design_8.833333333333332,12.5",2,35,15,350,1091310.5377913676,196673.304113968
17,"design_8.833333333333332,12.5",2,35,20,420,1087047.3809218577,194658.83270306335
18,"design_8.833333333333332,12.5",2,35,25,525,1084502.200822692,193357.0394187866
19,"design_8.833333333333332,12.5",2,35,30,595,1082855.109425149,192496.8358934487
20,"design_8.833333333333332,12.5",2,40,10,280,1102215.460390841,202705.84240536025
21,"design_8.833333333333332,12.5",2,40,15,400,1093592.567626464,198419.04443333898
22,"design_8.833333333333332,12.5",2,40,20,480,1089329.5866077668,196401.12370228735
23,"design_8.833333333333332,12.5",2,40,25,600,1086813.8407265944,195099.95853738274
24,"design_8.833333333333332,12.5",2,40,30,680,1085145.6756195307,194239.85847495045
25,"design_8.833333333333332,12.5",7,20,10,240,1070838.5268147078,207574.64654448768
26,"design_8.833333333333332,12.5",7,20,15,300,1061481.5424098922,202715.22105394563
27,"design_8.833333333333332,12.5",7,20,20,340,1056290.707064719,200252.32846102677
28,"design_8.833333333333332,12.5",7,20,25,400,1052994.8310422807,198623.03166065685
29,"design_8.833333333333332,12.5",7,20,30,440,1050744.1094229207,197526.62627341723
30,"design_8.833333333333332,12.5",7,25,10,300,1080019.6293243,212977.11004254234
31,"design_8.833333333333332,12.5",7,25,15,375,1070622.4794774759,208127.902444129
32,"design_8.833333333333332,12.5",7,25,20,425,1065427.9950086884,205651.3267784219
33,"design_8.833333333333332,12.5",7,25,25,500,1062109.4706512457,204035.48541271803
34,"design_8.833333333333332,12.5",7,25,30,550,1059845.7440988459,202928.15369187214
35,"design_8.833333333333332,12.5",7,30,10,360,1085175.8355351228,216462.7827653649
36,"design_8.833333333333332,12.5",7,30,15,450,1075757.9580772845,211610.56126561313
37,"design_8.833333333333332,12.5",7,30,20,510,1070531.5173927997,209137.12226290983
38,"design_8.833333333333332,12.5",7,30,25,600,1067206.5973104099,207512.73865558393
39,"design_8.833333333333332,12.5",7,30,30,660,1064941.5388955341,206419.49522244485
40,"design_8.833333333333332,12.5",7,35,10,420,1088407.7849317444,218798.56016066825
41,"design_8.833333333333332,12.5",7,35,15,525,1078973.32195841,213965.5979999105
42,"design_8.833333333333332,12.5",7,35,20,595,1073743.9499933107,211513.70904206135
43,"design_8.833333333333332,12.5",7,35,25,700,1070409.446138013,209881.8970692341
44,"design_8.833333333333332,12.5",7,35,30,770,1068146.0989584601,208788.69994823643
45,"design_8.833333333333332,12.5",7,40,10,480,1090577.7017807446,220512.34986439667
46,"design_8.833333333333332,12.5",7,40,15,600,1081133.576945205,215706.55961313072
47,"design_8.833333333333332,12.5",7,40,20,680,1075876.2493498335,213245.1742874037
48,"design_8.833333333333332,12.5",7,40,25,800,1072559.0334594713,211630.91747259244
49,"design_8.833333333333332,12.5",7,40,30,880,1070284.5479636386,210528.40365088452
50,"design_8.833333333333332,12.5",12,20,10,340,1074035.881069269,212011.87542201238
51,"design_8.833333333333332,12.5",12,20,15,400,1065231.826403364,207260.13864209413
52,"design_8.833333333333332,12.5",12,20,20,440,1060179.1928241507,204757.01936147257
53,"design_8.833333333333332,12.5",12,20,25,500,1056834.4139619188,203064.21480322903
54,"design_8.833333333333332,12.5",12,20,30,540,1054470.0892544852,201894.8873377622
55,"design_8.833333333333332,12.5",12,25,10,425,1083254.2117088547,217393.1998124445
56,"design_8.833333333333332,12.5",12,25,15,500,1074413.8575226222,212651.54006894524
57,"design_8.833333333333332,12.5",12,25,20,550,1069343.2203448433,210148.67077044322
58,"design_8.833333333333332,12.5",12,25,25,625,1065997.2699891413,208462.78590844304
