,S2,S2_conf
"('omega', 'wave_heading')",-0.24041431738797508,0.46052643436463736
"('omega', 'wave_amplitude')",0.0002971554229949792,0.010804780615076868
"('omega', 'interest')",0.0002971496330857896,0.010800682850266866
"('omega', 'n_avail')",0.00029725917334189446,0.010808942768740108
"('omega', 'L')",0.0002974834373357021,0.010818309198651673
"('omega', 'array_scaling_factor')",0.0002972471080547582,0.010807253467022332
"('omega', 'Fmax')",0.00029715896322356303,0.01080461440606231
"('wave_heading', 'wave_amplitude')",-0.5310751530870741,3.450840966319946
"('wave_heading', 'interest')",-0.5262025693678725,4.149357376994163
"('wave_heading', 'n_avail')",-0.5284610619030642,3.804108280037338
"('wave_heading', 'L')",-0.5276442221079088,3.9920733466303915
"('wave_heading', 'array_scaling_factor')",-0.5307796756315695,3.463883040681685
"('wave_heading', 'Fmax')",-0.5307931468818349,3.4599116868448436
"('wave_amplitude', 'interest')",0.00011180863280396207,0.0010694577882282654
"('wave_amplitude', 'n_avail')",0.00011183924939483886,0.0010676444271199212
"('wave_amplitude', 'L')",0.00011182773973484276,0.0010683933454098183
"('wave_amplitude', 'array_scaling_factor')",0.00011183384977585232,0.001068036025897642
"('wave_amplitude', 'Fmax')",0.00011183097142607447,0.0010687292563688613
"('interest', 'n_avail')",9.663950151540434e-05,0.0008433653145825897
"('interest', 'L')",9.662623681536635e-05,0.0008424422134151232
"('interest', 'array_scaling_factor')",9.662752896072016e-05,0.0008427226975588236
"('interest', 'Fmax')",9.666212639636731e-05,0.0008421568717155557
"('n_avail', 'L')",3.582798926723984e-05,0.00040897088159832
"('n_avail', 'array_scaling_factor')",3.58331745493434e-05,0.0004092609671482082
"('n_avail', 'Fmax')",3.583491619175306e-05,0.00040927948446976316
"('L', 'array_scaling_factor')",1.7676609335704037e-05,0.0018684498209329684
"('L', 'Fmax')",1.7682751334045334e-05,0.0018688090285958177
"('array_scaling_factor', 'Fmax')",2.6553582578293872e-05,0.00026764064892347743
