,S2,S2_conf
"('omega', 'wave_amplitude')",-1.716014901590102e-05,0.0007808265624859772
"('omega', 'interest')",-1.716031385359156e-05,0.0007808377815814849
"('omega', 'n_avail')",-1.7160154431577933e-05,0.0007808200039998726
"('omega', 'L')",-1.716013900336828e-05,0.0007808276750572906
"('omega', 'array_scaling_factor')",-1.7160151959294765e-05,0.0007808272457928546
"('wave_amplitude', 'interest')",7.771982028868113e-09,0.00028285233696480084
"('wave_amplitude', 'n_avail')",7.770488880624996e-09,0.0002828530066044552
"('wave_amplitude', 'L')",7.770617294152928e-09,0.0002828522356686086
"('wave_amplitude', 'array_scaling_factor')",7.770476079827008e-09,0.0002828530249381104
"('interest', 'n_avail')",-8.421647404381233e-06,0.00027991777756349457
"('interest', 'L')",-8.421646567261443e-06,0.0002799214202393687
"('interest', 'array_scaling_factor')",-8.421648156172259e-06,0.00027992048961436616
"('n_avail', 'L')",-2.498143086255106e-07,6.097152201786697e-05
"('n_avail', 'array_scaling_factor')",-2.4981581410156635e-07,6.097029655561334e-05
"('L', 'array_scaling_factor')",-3.450330236013378e-08,0.00011700356861807453
