,ST,ST_conf,samples
omega,0.9093474399046934,2.0896384997022177,1024
wave_heading,1.395865587083633,1.8787397832409156,1024
wave_amplitude,0.017157124879327176,0.04298964361918609,1024
interest,0.05982774937100564,0.039694642249029535,1024
n_avail,0.01865606105464554,0.013475787327171578,1024
L,0.00344120721351464,0.010628283235518688,1024
array_scaling_factor,0.006063130271793788,0.005260658950846986,1024
Fmax,9.58229551811535e-08,7.598244908293579e-07,1024
omega,0.07679487397525007,0.1952994137055312,2048
wave_heading,1.7592399684577067,19.543625460725664,2048
wave_amplitude,0.04454846158907379,0.05456004168791186,2048
interest,0.02180205457538725,0.04463431803002107,2048
n_avail,0.0029372972707660274,0.003692045283885449,2048
L,0.012420737397778952,0.019542286820480266,2048
array_scaling_factor,0.0008718761093988531,0.0019827490120152987,2048
Fmax,2.356626512564479e-09,7.80964387693058e-08,2048
omega,0.020577790563020854,4.095974162876283,4096
wave_heading,0.06692584146188299,0.7018013716349412,4096
wave_amplitude,8.501161968286057e-05,0.018769899318460754,4096
interest,0.00017556371814046907,0.02378046168605026,4096
n_avail,7.844468059447613e-05,0.007143565011950357,4096
L,0.0020851568822376583,0.24414037055077417,4096
array_scaling_factor,4.214328516399668e-05,0.004994614802500099,4096
Fmax,1.6804591805394045e-11,8.278850392032902e-09,4096
