,ST,ST_conf,samples
omega,1.0158730159171925,0.25586874029039813,32
wave_heading,1.0158730159171925,0.22316287013731376,32
wave_amplitude,1.0158730159171925,0.17864311367858876,32
interest,1.0158730159171925,0.20715098781803026,32
n_avail,1.0158730159171925,0.18774601325433518,32
L,1.0158730159171925,0.2662724944238103,32
array_scaling_factor,1.0158730159171925,0.18174117154100977,32
omega,1.0078740157661776,0.2571526809811397,64
wave_heading,1.0078740157661776,0.22094108734675538,64
wave_amplitude,1.0078740157661776,0.15067852445580326,64
interest,1.0078740157661776,0.17031960225188067,64
n_avail,1.0078740157661776,0.2380873948308474,64
L,1.0078740157661776,0.195814778532448,64
array_scaling_factor,1.0078740157661776,0.16290082882133655,64
omega,1.0039215686476215,0.17546166711689515,128
wave_heading,1.0039215686476215,0.15099995856053314,128
wave_amplitude,1.0039215686476215,0.14570455576823277,128
interest,1.0039215686476215,0.1407960738283374,128
n_avail,1.0039215686476215,0.22011789613393787,128
L,1.0039215686476215,0.21359484335847548,128
array_scaling_factor,1.0039215686476215,0.1330768035524937,128
omega,1.0019569471725327,0.1671301045027107,256
wave_heading,1.0019569471725327,0.0947635935580784,256
wave_amplitude,1.0019569471725327,0.088062621802011,256
interest,1.0019569471725327,0.09521149342501777,256
n_avail,1.0019569471725327,0.1475382720247112,256
L,1.0019569471725327,0.12873363922505363,256
array_scaling_factor,1.0019569471725327,0.09722169157738722,256
omega,1.0009775171138189,0.14976381293363217,512
wave_heading,1.0009775171138189,0.0818260900866482,512
wave_amplitude,1.0009775171138189,0.0692260786508279,512
interest,1.0009775171138189,0.08890142124016935,512
n_avail,1.0009775171138189,0.06953974691237932,512
L,1.0009775171138189,0.09465978142724715,512
array_scaling_factor,1.0009775171138189,0.07444524817426337,512
omega,1.0004885197956426,0.13520513984067065,1024
wave_heading,1.0004885197956426,0.0668167310564435,1024
wave_amplitude,1.0004885197956426,0.0389805757970607,1024
interest,1.0004885197956426,0.06618406948133164,1024
n_avail,1.0004885197956426,0.039311768501630096,1024
L,1.0004885197956426,0.05748407213710647,1024
array_scaling_factor,1.0004885197956426,0.047769569421124154,1024
omega,1.0002442002513534,0.1501219001777979,2048
wave_heading,1.0002442002513534,0.050798798056238145,2048
wave_amplitude,1.0002442002513534,0.028193821676487277,2048
interest,1.0002442002513534,0.05469127688671188,2048
n_avail,1.0002442002513534,0.029810803342074765,2048
L,1.0002442002513534,0.05026882729514999,2048
array_scaling_factor,1.0002442002513534,0.032214284613466516,2048
omega,1.0001220852228858,0.14951447457631664,4096
wave_heading,1.0001220852228858,0.05575908198676577,4096
wave_amplitude,1.0001220852228858,0.01996967821634145,4096
interest,1.0001220852228858,0.053875338966651636,4096
n_avail,1.0001220852228858,0.028480753364882743,4096
L,1.0001220852228858,0.055358142022056675,4096
array_scaling_factor,1.0001220852228858,0.024502171874761423,4096
omega,1.0000610388889593,0.1433633304227187,8192
wave_heading,1.0000610388889593,0.05265045574527612,8192
wave_amplitude,1.0000610388889593,0.013330012854642118,8192
interest,1.0000610388889593,0.05096307488891249,8192
n_avail,1.0000610388889593,0.015008069232361462,8192
L,1.0000610388889593,0.049741508413592005,8192
array_scaling_factor,1.0000610388889593,0.0157790692125651,8192
